51619830,40,2013/9/25,2013/9/25 7:02,2013/7/9 6:04,DoCoMo,DoCoMo/2.0 P03C(c500;TB;W24H16)
44475214,40,2014/4/3,2014/4/3 23:23,2013/3/29 15:34,DoCoMo,DoCoMo/2.0 P03D(c500;TB;W24H16)
73848164,40,2014/2/1,2014/2/1 17:14,2013/6/7 17:20,DoCoMo,DoCoMo/2.0 P03D(c500;TB;W24H16)
76620978,40,2014/3/27,2014/3/27 10:01,2013/6/19 18:32,DoCoMo,DoCoMo/2.0 P03D(c500;TB;W30H20)
33388503,40,2013/12/30,2013/12/30 23:46,2013/9/15 19:05,DoCoMo,DoCoMo/2.0 P04A(c100;TB;W24H15)
12002840,40,2014/4/3,2014/4/3 18:13,2013/9/14 11:58,DoCoMo,DoCoMo/2.0 P04B(c500;TB;W24H16)
74690102,40,2013/8/22,2013/8/22 0:54,2013/8/8 14:50,DoCoMo,DoCoMo/2.0 P04C(c500;TB;W30H20)
33994985,40,2013/9/28,2013/9/28 18:46,2013/5/20 17:48,DoCoMo,DoCoMo/2.0 P05B(c500;TB;W30H20)
5131950,40,2013/5/16,2013/5/16 7:09,2013/4/11 8:48,DoCoMo,DoCoMo/2.0 P06C(c500;TB;W24H16)
9959922,40,2014/3/6,2014/3/6 16:18,2013/3/22 12:45,DoCoMo,DoCoMo/2.0 P06C(c500;TB;W24H16)
63357901,40,2014/4/4,2014/4/4 13:47,2013/10/1 8:25,DoCoMo,DoCoMo/2.0 P06C(c500;TB;W24H16)
63510377,40,2014/3/26,2014/3/26 23:45,2013/8/12 23:08,DoCoMo,DoCoMo/2.0 P06C(c500;TB;W24H16)
63532088,40,2013/9/3,2013/9/3 14:21,2013/3/22 12:38,DoCoMo,DoCoMo/2.0 P06C(c500;TB;W24H16)
65121263,40,2014/2/2,2014/2/2 0:33,2013/6/20 21:46,DoCoMo,DoCoMo/2.0 P06C(c500;TB;W24H16)
66939954,40,2013/9/12,2013/9/12 20:35,2013/4/5 22:06,DoCoMo,DoCoMo/2.0 P06C(c500;TB;W24H16)
72460772,40,2014/3/13,2014/3/13 19:13,2013/7/2 13:27,DoCoMo,DoCoMo/2.0 P06C(c500;TB;W24H16)
77049675,40,2013/7/15,2013/7/15 21:58,2013/6/30 6:51,DoCoMo,DoCoMo/2.0 P06C(c500;TB;W24H16)
82327242,40,2014/3/16,2014/3/16 0:42,2014/3/15 4:22,DoCoMo,DoCoMo/2.0 P06C(c500;TB;W24H16)
36778188,40,2013/6/30,2013/6/30 0:01,2013/6/20 8:20,DoCoMo,DoCoMo/2.0 P07A3(c500;TB;W24H15)
35739925,40,2013/7/23,2013/7/23 1:34,2013/5/15 11:25,DoCoMo,DoCoMo/2.0 P07A3(c500;TB;W30H18)
7780570,40,2013/5/3,2013/5/3 10:33,2013/3/24 22:31,DoCoMo,DoCoMo/2.0 P07B(c500;TB;W20H13)
