"14830931","6","152","2014-01-08","1","2014-01-08 00:41:37","2013-04-10 15:47:47","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533."
"16027920",NULL,NULL,"2013-04-17","1","2013-04-17 12:00:25","2013-04-17 11:56:10","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"16194800","2","10","2013-05-08","1","2013-05-08 22:36:35","2013-05-08 22:35:36","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"16251782",NULL,NULL,NULL,"1",NULL,"2013-05-08 22:58:11","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"16334600","2","10","2013-05-11","1","2013-05-11 15:30:17","2013-05-11 15:28:09","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"30873147","12","673","2013-09-27","1","2013-09-27 07:04:08","2013-03-22 14:32:40","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
"31188584","29","4251","2013-09-14","1","2013-09-14 00:14:05","2013-09-13 23:40:16","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"31208953","2","10","2013-05-12","1","2013-05-12 03:52:44","2013-05-12 03:51:39","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"31242000","4","63","2013-11-09","1","2013-11-09 02:02:29","2013-06-04 11:03:13","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"31526656",NULL,NULL,"2013-03-26","1","2013-03-26 14:13:37","2013-03-26 14:11:56","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"31621303",NULL,NULL,"2013-03-24","1","2013-03-24 03:34:58","2013-03-24 03:31:58","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"31646806","20","1585","2014-01-02","1","2014-01-02 00:22:24","2013-06-14 19:22:07","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"31790430","39","9102","2013-12-25","1","2013-12-25 01:08:01","2013-04-17 02:03:01","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"31953916","48","16616","2014-01-10","1","2014-01-10 22:17:09","2013-03-23 10:55:19","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"32011795",NULL,NULL,NULL,"1",NULL,"2013-03-30 18:12:06","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"32395754",NULL,NULL,NULL,"1",NULL,"2013-06-09 02:20:20","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
"32544397",NULL,NULL,NULL,"1",NULL,"2014-03-24 16:25:06","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
"32816791",NULL,NULL,NULL,"1",NULL,"2013-05-09 15:27:10","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"33365270","30","4654","2013-03-31","1","2013-03-31 10:01:00","2013-03-22 19:02:11","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"33427221","58","27683","2014-04-02","1","2014-04-02 00:19:56","2013-04-10 06:10:01","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"33710756",NULL,NULL,NULL,"1",NULL,"2013-05-08 19:58:54","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"33725272",NULL,NULL,"2013-03-28","1","2013-03-28 21:09:11","2013-03-28 21:07:51","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"33989003","8","268","2013-06-06","1","2013-06-06 01:07:26","2013-04-13 16:40:44","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"34392512",NULL,NULL,NULL,"1",NULL,"2013-05-09 11:36:43","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"34756295",NULL,NULL,NULL,"1",NULL,"2013-05-09 15:38:07","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"35065764","2","10","2013-05-22","1","2013-05-22 01:44:13","2013-05-08 22:13:11","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
"35110796","2","10","2013-07-04","1","2013-07-04 01:18:50","2013-05-08 21:50:25","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
"35134756",NULL,NULL,NULL,"1",NULL,"2013-06-14 22:33:20","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
"35218902","15","918","2013-07-16","1","2013-07-16 20:47:39","2013-03-22 17:43:01","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"35330234","2","21","2013-05-08","1","2013-05-08 16:00:33","2013-05-08 15:58:44","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"35363166","25","2736","2013-06-10","1","2013-06-10 09:49:13","2013-04-06 10:07:39","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"35626475","20","1565","2014-03-24","1","2014-03-24 16:20:17","2013-09-26 23:12:49","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"35633843","2","10","2013-05-08","1","2013-05-08 19:38:48","2013-05-08 19:37:50","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"35874282","3","32","2013-05-08","1","2013-05-08 19:14:28","2013-05-08 19:12:43","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"35901891",NULL,NULL,NULL,"1",NULL,"2013-05-09 16:05:30","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"36208569",NULL,NULL,NULL,"1",NULL,"2013-05-08 23:13:08","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1"
"36830862","2","10","2013-05-09","1","2013-05-09 10:34:44","2013-05-09 10:33:33","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"36843282",NULL,NULL,"2013-04-25","1","2013-04-25 11:31:08","2013-04-25 11:28:31","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"36899002","2","22","2013-05-09","1","2013-05-09 22:23:01","2013-05-09 22:20:52","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
"37571476",NULL,NULL,NULL,"1",NULL,"2013-05-08 19:18:13","1","Android","Mozilla/5.0 (Linux; U; Android 2.3.3; ja-jp; SH-12C Build/S5050)"
